name,price,category,colors,inventory,note,tag,inStock,images
Purple Jeans,150,Bottoms,"Indigo: 1","Indigo: ONLY 1 PAIR LEFT | Rare",,"Send pic for details",TRUE,https://elliebelle.com/cdn/shop/files/25a-purple-brand-p018wlic823lt-indigo22p.jpg?v=1765245695|http://cncpts.com/cdn/shop/articles/Purple_Brand_SS21_Blog_88224555-aee6-4344-a5cb-7a0f1c604bfb.jpg?v=1678933164
Chrome Hearts Jeans,115,Bottoms,"Black: 2, Grey: 1","Black: 2 | Grey: 1 in stock",,"Great fit",TRUE,https://shengliroadmarket.com/cdn/shop/files/chrome-hearts-black-grey-silver-cross-patch-jeans-7853076.jpg?v=1763710603&width=1080
Stussy Jeans,90,Bottoms,"Indigo: 2","Indigo: 2 in stock",,"Comfortable",TRUE,https://images.stockx.com/images/Stussy-x-Denim-Tears-501-Jean-Indigo-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp
Balenciaga Tracks,200,Shoes,"Black: 1, White: 1","Black: 1 LEFT | White: 1 LEFT","Rare sneakers",,"TRUE",https://images.stockx.com/images/Balenciaga-Track-Black-2021-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp|https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_d62ec801-4c25-41b9-bc01-1626b74cedde.jpg?v=1716370214
Balenciaga Fur Slides,85,Shoes,"White: 2, Pink: 1, Grey: 3, Black: 2","White: 2 | Pink: 1 | Grey: 3 | Black: 2",,"Comfy",TRUE,https://is4.fwrdassets.com/images/p/fw/zs/BALF-WZ693_V1.jpg|https://images.stockx.com/images/Balenciaga-Furry-Slide-Blue-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp
Jordan 4's,130,Shoes,"Black: 2, White: 1","Black: 2 in stock | White: 1 in stock","QC pics available",,"TRUE",https://static.nike.com/a/images/w_1280,q_auto,f_auto/pbqbsgh65wqrzcipqrvq/air-jordan-4-retro-white-cement-grey-release-date.jpg|https://static.nike.com/a/images/t_prod_ls/w_1920,c_limit/uuivavbco2mqrxwwlfyj/air-jordan-4-retro-white-cement-grey-release-date.jpg
Yeezy Slides,75,Shoes,"Black: 3, Beige: 2","Black: 3 in stock | Beige: 2 in stock","Popular",,"TRUE",https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_0754cf4b-760d-4826-9e48-9296fb3d84d2.jpg?v=1694772197
Lacoste Bracelet,35,Accessories,"Silver: 5, Gold: 2","Silver: 5 | Gold: 2",,"In stock",TRUE,https://lacoste.com.ph/media/catalog/product/cache/32cb44d7c9e06a2a6627a984273078d8/j/l/jl017b_041_01.jpg|https://m.media-amazon.com/images/I/41xhl4z7CCL._AC_SY300_.jpg
LV Belt + Wallet Set,100,Accessories,"Damier: 2, Monogram: 1","Damier: 2 | Monogram: 1","Complete set",,"TRUE",https://aonebrandsdubai.com/cdn/shop/files/64f71cf6-ee94-42f4-b007-fdedee14bd0c.jpg?v=1721676604&width=1445|https://5.imimg.com/data5/ANDROID/Default/2025/11/560107840/PM/DE/XL/229748677/product-jpeg.jpg
Gucci Belt + Wallet Set,100,Accessories,"Black: 1, Brown: 2","Black: 1 | Brown: 2",,"Ready",TRUE,https://img.freeup.app/fit-in/600x600/filters:upscale()/e8c5febd68bcd0f080cdb108370b0b92.jpg|https://img.freeup.app/fit-in/600x600/filters:upscale()/00e2c5ce7ba408ceb93ef2f56ca1407c.jpg
Chrome Heart Glasses,40,Accessories,"Gold: 3, Silver: 1","Gold: 3 | Silver: 1 LEFT",,"Available",TRUE,https://milnyparlon.com/wp-content/uploads/2024/06/Chrome-Hearts-Gold-Floral-Cross-Rimless-Sunglasses-1.jpg|https://milnyparlon.com/wp-content/uploads/2024/06/Chrome-Hearts-Gold-Floral-Cross-Rimless-Sunglasses-3.jpg
LV Sunglasses,75,Accessories,"Gold: 1","Gold: 1 ONLY","QC pics",,"TRUE",https://us.louisvuitton.com/images/is/image/lv/1/PP_VP_M/louis-vuitton--Z1165E_PM2_Front%20view.jpg?wid=750&hei=870
Amiri Belt,70,Accessories,"Gold: 2, Silver: 1","Gold: 2 | Silver: 1","QC available",,"TRUE",https://images.stockx.com/images/AMIRI-Core-Logo-Buckle-Belt-Black-Black-Gold-tone.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp|https://louisemporium.com/wp-content/uploads/2024/05/photo_2024-05-11_12-58-04.jpg
Burberry Belts,35,Accessories,"Black: 4, Beige: 3","Black: 4 | Beige: 3",,"In stock",TRUE,https://assets.burberry.com/is/image/Burberryltd/A45116C1-0D3F-4C0E-AE24-652BC4A29524?$BBY_V3_SL_1$&wid=1501&hei=1500|https://assets.burberry.com/is/image/Burberryltd/9E5023C5-A64E-4DE9-86E3-7F9BDFBE1858?$BBY_V3_SL_1$&wid=1501&hei=1500
Chrome Hearts Bracelet,30,Accessories,"Silver: 3, Gold: 1","Silver: 3 | Gold: 1",,"Available",TRUE,https://i.ebayimg.com/images/g/iC4AAeSwvR5oxYWU/s-l1200.jpg
Valentino 100ml,100,Fragrances,"Full bottles: 2, Testers: 1","Bottles: 2 | Testers: 1",,"In stock",TRUE,https://fimgs.net/mdimg/perfume-thumbs/375x500.55963.jpg|https://cdn.salla.sa/DGdDlG/cbe4adc2-b8e7-4a7a-aaa5-02933f314d81-1000x1000-eUeCrhgUTNr9QzHnQdjhmfZNeH8LRqWtgUsrJl6Y.jpg
Baccarat Rouge 70ml,150,Fragrances,"Full: 1, Tester: 1","Full: 1 LEFT | Tester: 1","Rare",,"TRUE",https://www.franciskurkdjian.com/dw/image/v2/BJSB_PRD/on/demandware.static/-/Sites-mfk-master-catalog/default/dwbb692f8f/BR540_KV3_ALL_triptych_square_1080x1080.png?sw=500&sh=500&sfrm=jpg&q=85&strip=true|https://www.franciskurkdjian.com/dw/image/v2/BJSB_PRD/on/demandware.static/-/Sites-mfk-master-catalog/default/dw347e967d/BR540_FAMILLE_EDP_ALL_triptych_square_1080x1080.png?sw=500&sh=500&sfrm=jpg&q=85&strip=true
Stronger With You 100ml,100,Fragrances,"Bottles: 3","Bottles: 3 in stock",,"Available",TRUE,https://www.giorgioarmanibeauty-usa.com/on/demandware.static/-/Sites-armani-us-Library/default/dwd2ea20a7/images/pdp/3614272225718_alt1a.jpg
AirPods Gen 4,85,Tech,"White: 2, Black: 1","White: 2 | Black: 1 in stock",,"In stock",TRUE,https://cdsassets.apple.com/live/7WUAS350/images/tech-specs/121203-airpods-4.png|https://media.johnlewiscontent.com/i/JohnLewis/112608751?fmt=auto&$background-off-white$
